fare_type,fare_condition_type,price,start_zone,mid_zone,end_zone,start_time,end_time
regular,peak,6.75,51,,16,,
regular,peak,6,51,,17,,
regular,peak,5,51,,18,,
regular,peak,2.75,51,,19,,
regular,peak,2.75,51,,20,,
regular,peak,6,51,,21,,
regular,peak,8,51,,31,,
regular,peak,7,51,,41,,
regular,peak,9,51,,42,,
regular,peak,2.5,51,,51,,
regular,peak,11.25,12,,0,,
regular,peak,12.75,13,,0,,
regular,peak,13.75,14,,0,,
regular,peak,13.75,15,,0,,
regular,peak,15.25,16,,0,,
regular,peak,16.5,17,,0,,
regular,peak,18,18,,0,,
regular,peak,19.75,19,,0,,
regular,peak,21,20,,0,,
regular,peak,23.5,21,,0,,
regular,peak,15.25,31,,0,,
regular,peak,17,41,,0,,
regular,peak,17.75,42,,0,,
regular,peak,20.75,51,,0,,
regular,peak,11.25,12,,1,,
regular,peak,12.75,13,,1,,
regular,peak,13.75,14,,1,,
regular,peak,13.75,15,,1,,
regular,peak,15.25,16,,1,,
regular,peak,16.5,17,,1,,
regular,peak,18,18,,1,,
regular,peak,19.75,19,,1,,
regular,peak,21,20,,1,,
regular,peak,23.5,21,,1,,
regular,peak,15.25,31,,1,,
regular,peak,17,41,,1,,
regular,peak,17.75,42,,1,,
regular,peak,20.75,51,,1,,
regular,peak,12.5,11,,12,,
regular,peak,3,2,,12,,
regular,peak,14,11,,13,,
regular,peak,4.25,2,,13,,
regular,peak,3,12,,13,,
regular,peak,15,11,,14,,
regular,peak,5,2,,14,,
regular,peak,4,12,,14,,
regular,peak,3.75,13,,14,,
regular,peak,15,11,,15,,
regular,peak,5,2,,15,,
regular,peak,4.75,12,,15,,
regular,peak,3.75,13,,15,,
regular,peak,3.5,14,,15,,
regular,peak,16.5,11,,16,,
regular,peak,6,2,,16,,
regular,peak,6,12,,16,,
regular,peak,5,13,,16,,
regular,peak,4.75,14,,16,,
regular,peak,2.75,15,,16,,
regular,peak,17.75,11,,17,,
regular,peak,7,2,,17,,
regular,peak,7,12,,17,,
regular,peak,6,13,,17,,
regular,peak,5.35,14,,17,,
regular,peak,3.5,15,,17,,
